Meanings,English Definition,POS,J Translation
ability,"The power, money, or skill to do something",n,能力
able,Having the ability to do something,adj,〜することができる
about,of (a subject); concerning,prep,～について
above,In a higher place than something else,adv,〜の上に
absolute,Complete and total,adj,絶対的な；完全な
absolutely,completely; totally; very,adv,完全に
accept,to agree to receive or take something offered,verb,受け入れる；受け取る
acceptable,Satisfactory; good enough,adj,許容できる
account,arrangement with a bank to keep your money for you,n,(預金)口座
across,From one side to the other of something,adv,横切って；交差して
act,To behave in a certain way,verb,行動する
action,Something that a person or thing does,n,行動
actual,"Real or existing in fact, not imagined; real",adj,実際の
actually,used to add new (often different) information,adv,実際は
add,"To put two things or numbers together, e.g. 2+2",verb,加える
addition,Fact of adding something; thing that is added,n,追加
additional,Further or added,adj,追加の
address,exact street location of a place,n,住所； アドレス
admit,"To agree that you did something bad, or that something bad is true",verb,認める
advertise,"to show how good a product is, to make people buy",verb,宣伝する
advertisement,"poster, TV, film showing advantages of new product",n,広告
afford,to have enough money to pay for something,verb,～する余裕がある
afraid,Worried that something bad will happen; scared,adj,怖がって
after,"Later than another time, or behind something",adv,～後で；～を追って
afternoon,time after 12:00 and before the evening meal,n,午後
again,"One more time, once more",adv,再び；その上
against,in opposition to; disagreeing with,prep,～に反対して
age,number of years a person has lived (also of things),n,年齢
ago,At a specified length of time in the past,adv,～前に
agree,to have the same opinion as someone else,verb,同意する；一致する；合う
agreement,when you share the same opinion or reach a decision,n,合意；協定；一致
ahead,In or toward the front,adv,前方に；先に
air,mixture of gases around the earth that we breathe ,n,空気
all,completely; totally,adv,すべて
allow,To let or permit someone do something,verb,許可する
almost,"Only a little less than, nearly, not quite",adv,ほとんど
alone,Without anyone or anything else,adv,独りで；ただ～だけ
along,At a point on a line,prep,～に沿って
already,Having happened or been done before this time,adv,すでに
alright,OK; fine; good,adv,申し分ない；大丈夫である；了解した
also,In addition; too; in a similar way,adv,～もまた；同様に；その上
although,Despite the fact that; however,conj,〜だけれども
always,at all times; in every situation,adv,いつも
amaze,To cause wonder; to surprise completely,verb,びっくりさせる
among,In the center of some things; in relation to several things,prep,〜の間に；～の中の
amount,quantity of something,n,量；総計，合計に達する；結局～なる
and,used to refer to two or more things,conj,～と・・・
angry,Having a strong feeling of being upset ,adj,腹を立てている
animal,A living creature that is not a plant or person,n,動物
another,one more (thing); additional (thing),det,もう一つの；別の
answer,solution to a problem or test question,n,答え
any,one (thing) of many; some (thing),det,（疑問文で）何か；いくらか，（否定文で）どれも；少しも，（肯定文で）どれでも
anybody,Any person; anyone,pron,（疑問文で）誰か，（否定文で）誰も，（肯定文で）誰でも
anymore,No longer; no more,adv,もはやこれ以上～しない
anyone,Any person,pron,（疑問文で）誰か，（否定文で）誰も，（肯定文で）誰でも
anything,thing of any kind; used to refer to a thing in questions,n,（疑問文で）何か，（否定文で）何も，（肯定文で）何でも
anyway,A word people use to change the topic of a conversation,adv,とにかく；いずれにせよ
anywhere,"in, at or to any place; used in questions, with 'not'",adv,（疑問文で）どこかへ，（否定文で）どこにも，（肯定文で）どこでも
apart,Separated by an amount of time or space,adv,離れて；別々に
apparent,Easy to see or clearly understand,adj,明白な
apparently,according to what you heard; from what can be seen,adv,明白に；見掛けは
appear,"to be seen, become visible; come into sight",verb,現れる
appearance,The way that something looks,n,外観；出現；状況
area,A specific section or space; part of a region,n,地域；場所
arm,part of your body from your shoulder to your hand,n,腕
around,"Located on every side, or along something",adv,～の周りに
arrival,when someone or something gets to at a place,n,到着
arrive,to reach the place you are travelling to,verb,到着する
art,"A creative skill using the imagination, e.g. painting",n,芸術
artist,"A person who is skilled and creative in art, such as a painter",n,芸術家；アーティスト
as,word that is used to compare two equal things,prep,同じぐらい；～のように
ashamed,Feeling shame or guilt because you did something wrong,adj,恥じている
ask,To say to someone that you want something,verb,尋ねる；求める；頼む
at,in the place where something is,prep,～の所で；～に
autumn,"The season when the weather is getting colder, after summer",n,秋
aware,Knowing or feeling that something exists,adj,気づいている
awareness,Having knowledge of something,n,認識
away,Not here; far from here; in a different direction,adv,離れて
awful,Very bad; horrible; terrible,adj,恐ろしい；ひどい
baby,"very young child, who cannot yet speak",n,赤ん坊
back,have returned to a place you were before,adv,もとに戻って
bad,Not good; wrong,adj,悪い
badly,Not in a good way; not as wanted or liked,adv,悪く
bag,soft container to put things in and carry with you,n,かばん；バッグ；袋
ball,small round object often used in a game or sport,n,ボール；球
bank,A financial institution that keeps or lends money,n,銀行
bar,"To prevent entry, exit or an action",verb,妨げる;  (道を)ふさぐ
basic,at the most important or easiest (beginner) level,adj,基本的な
basically,Used before you explain something simply,adv,基本的には
bath,long container you fill with hot water to wash in,n,浴槽
be,Being,verb,～である
beach,"large area of sand, next to an area of water",n,砂浜
bear,large brown animal with fur that lives in forests,n,熊
beat,To win against another person or team; defeat,verb,打ち負かす
beautiful,Having very attractive or appealing physical qualities,adj,美しい
beauty,The quality of being physically or visually attractive,n,美人
because,For a reason,conj,なぜなら～だから
become,To begin to be; grow to be; develop into,verb,～になる
bed,A piece of furniture that people sleep on,n,ベッド
before,At a time earlier than the present; previously,adv,以前に
begin,To do the first part of an action; to start,verb,始まる；始める
behind,In or toward the back,adv,～の後ろに
believe,To think or accept that something is true,verb,信じる
below,"In a lower position, place, or level",adv,下に；低く
beneath,Under; In or to a lower position; below,prep,～の下に
beside,By the side of something; next to something,prep,～の近くに;～の 隣に
besides,Other than or in addition to,prep,～のほか；～を除いて，その上
bet,"To gamble money to win more money, e.g. on horses",verb,賭ける
between,In the space that separates two objects,prep,～の間に
beyond,On or to the farther side; in addition to,adv,～の向こうに；～を超えて；～のほかに
big,Large,adj,大きい
bill,piece of paper showing what you have to pay,n,請求書
billion,"number 1,000,000,000",num,十億
bird,animal with feathers that uses wings to fly,n,鳥
birth,time when a baby or young animal is born,n,誕生
bit,small piece of something,n,少し；部分
black,color of the sky on a dark night,adj,黒い
blood,red liquid in the bodies of people and animals,n,血
bloody,Covered or spotted with blood on the surface,adj,血がついた，ひどく
blow,To move something using air,verb,吹き飛ばす
blue,color of the clear sky,adj,青い
boat,small form of transport for traveling on water,n,ボート；船
body,A person's physical self,n,体；人
bone,hard piece of your body that forms the skeleton,n,骨
book,Thing made of pages with writing on that you read,n,本
both,Used to refer to two things at the same time,adj,両方
bother,To take the trouble to do something,verb,悩ませる；思い悩む
bottle,container with a narrow neck used to hold liquids,n,ボトル；瓶
bottom,lowest part of something; part on which it rests,n,底
box,A container with (usually) four straight sides and a lid,n,箱；ボックス
boy,A young male person,n,男の子
bread,"Baked food made from flour, used in sandwiches, etc.",n,パン
break,"to separate into pieces by force, or by dropping",verb,壊す；折る
breakfast,first meal of the day,n,朝食
breath,air you take in and out of your body,n,息；呼吸
bright,Producing a lot of light,adj,明るい;  まぶしい
bring,to take or go with someone to a place,verb,持ってくる；もたらす；至らせる
brother,A boy or man who shares a parent with you,n,兄弟；仲間
brown,of the color of coffee or chocolate,adj,茶色の
build,"To make, e.g. a house, by putting materials together",verb,建てる；作る
burn,To destroy with fire,verb,燃える；焼く
bus,A large road vehicle used for carrying many people,n,バス
business,A company formed for making profit,n,会社
busy,working hard doing something; full of activity,adj,忙しい
but,"Used before you say something different, opposite",conj,でも
buy,To get something by paying money for it,verb,買う
buyer,"A person who buys, e.g. a customer in a store",n,買い手
by,Near; with,prep,～の近くに
cake,"A sweet baked food made from flour, eggs, fat and sugar",n,ケーキ
camp,place where people live for a short time in tents,n,キャンプ
can,To be able to; have the skill to; have the time to,aux,〜することができる
car,A vehicle with four wheels and engine that can carry things,n,車
card,small piece of paper or plastic used as I.D.,n,カード
care,to look after someone or something,verb,世話をする
careful,Thinking about what you are doing in order to avoid a mistake,adj,注意深い
carefully,In a manner that involves focus and care,adv,注意深く
carry,To hold something and move it to another place,verb,運ぶ；持つ
case,example or instance of something,n,場合
cat,"animal of the lion, tiger and leopard family",n,猫
catch,use your hands to stop and hold something flying,verb,捕まえる
cause,To make something happen; create effect or result,verb,～の原因となる；引き起こす；～させる
center,place in the middle of something,n,中心
central,Being in the middle,adj,中央の； 主要な
certain,Being sure about something; without doubt,adj,確信している；必ず～する；明白である；若干の
certainly,(said when something is definitely true or is sure to  happen),adv,確かに
chair,A piece of furniture you sit on when sitting at a table or desk,n,椅子
chance,The possibility that something will happen,n,機会；可能性；偶然
change,"To make or become different, or into something else",verb,変える； 変わる
charge,To ask for money as a price for a service or goods,verb,請求する
cheap,Not costing a lot of money,adj,安い
check,To confirm the details of something are correct,verb,確認する
chicken,A bird which cannot fly that is raised for its eggs and meat,n,ニワトリ
child,"A very young person, between about 2 and 15",n,子ども
childhood,The time when you are a child,n,子供時代
chip,To break a piece off something e.g. a cup,verb,削り取る
choice,decision between two or more possibilities,n,選択
choose,To select; decide between several possibilities,verb,選ぶ
church,building where christians gather and pray to god,n,教会
city,A heavily populated area with many buildings and roads,n,市；都市
class,"rank or level in society, ranked from high (rich professional people) to low (ordinary people)",n,階級； ランク
clean,Being free from dirt or marks because it was washed,adj,きれいな；清潔な
clear,Easy to understand; well-explained; obvious,adj,はっきりした
clearly,In a way that is easy to understand; obviously,adv,はっきりと
climb,To rise gradually and steadily to a higher point,verb,登る
clock,A device that shows the time,n,時計
close,Next to; only a short distance away,adv,近い
closely,nearby; just next to,adv,密接に
clothes,"The things you wear on your body e.g. shirt, dress, tie",n pl.,衣服
clothing,"The things you wear on your body e.g. shirt, dress, tie",n,衣類
club,"group of people who share an interest, as in sport",n,クラブ； 同好会； 会員制組織， 
coat,clothing worn outside over your normal clothes,n,上着;  コート
coffee,A brown drink made from roasted beans and boiled water,n,コーヒー
cold,Having a very low temperature,adj,冷たい；寒い
collect,To gather things/people together in one place,verb,集める
collection,group of similar things gathered as a hobby,n,収集物(品);  コレクション
college,school or educational institution for adults,n,大学；（米）単科大学
color,"Quality of things you can see, e.g. red, blue",n,色
come,To move toward someone; go with someone,verb,行く
comfort,"state of being relaxed, warm or happy",n,快適さ； 安楽
comfortable,not being worried about something; at ease,adj,快適な； 心地よい
company,A business that sells things or provides services,n,会社
complete,To finish or reach the end of doing something,verb,完全にする；完成させる
completely,In every way or as much as possible,adv,完全に
compute,To find out by calculating or estimating,verb,計算する
computer,A machine for storing information and accessing the internet,n,コンピュータ
concern,feeling of worry or anxiety,n,心配； 懸念
consider,To think carefully about something,verb,考慮する；みなす
consideration,careful thought; thinking about something,n,考慮事項
continue,"To do something without stopping, or after pausing",verb,続く
continuous,"Happening, existing, or being performed without stops",adj,連続的な
control,To direct or influence the behavior of something,verb,支配する；管理する；抑制する；照査する
conversation,when you talk with other people; discussion or chat,n,会話;  対談
cook,To heat food until it is ready to eat,verb,料理する
cool,Almost cold; not warm or hot,adj,涼しい；冷たい
corner,"place where two lines, sides, corners etc meet",n,コーナー；角；地域；窮地
cost,The price you pay for something,n,費用
could,"Used as the past form of can, to indicate possibility",verb,～できた
count,To add things together to find the total number,verb,数える；重要である
country,An area of land that is controlled by a government,n,国
couple,two of something; two people; a pair,n,ペア；カップル
course,"The route or direction that a river, etc moves along",n,方向;  進路
court,"large, flat area, to play tennis or basketball",n,(テニスなどの)コート
cover,thing you put over something to close or hide it,n,蓋;  覆う
coverage,type of programs a radio or TV station broadcasts,n,報道
crazy,Not being sensible or practical,adj,気が狂った；夢中である
crime,"act that is against the law; murder, theft etc",n,犯罪
cross,To meet at one point,verb,横断する；交差する，交差している
cry,to produce tears and sounds because of pain,verb,泣く
cup,small round container used to hold liquids for drinking,n,カップ
cut,To use a knife or scissors to divide or open the surface,verb,切る
daily,Happening every day,adv,日々
dance,To move your body rhythmically to music,verb,踊る
danger,"The possibility of getting hurt, damaged, or killed",n,危険
dangerous,involving the chance of hurt or damage; risky,adj,危険な
dark,Having little or no light; not light in color,adj,暗い
darkness,The state or quality of being dark in color,n,暗さ；黒さ
date,A day in the calendar such as January 3rd,n,日付
daughter,A female child of someone,n,娘
day,Each of the 24 hours beginning at midnight,n,日
dead,Not alive,adj,死んでいる
deal,"to give out (cards, etc) to; distribute",verb,分け与える；配る
dealer,Someone who buys things to sell to others,n,販売業者
dear,Loved or valued very much,adj,親愛な
death,when someone dies; the end of life,n,死；死亡
decide,To make a choice about something or choose after thinking,verb,決める
deep,Going far down from the surface,adj,深い
deeply,"to a great, intense or extreme extent",adv,深く；深刻に
definitely,Without question; beyond doubt,adv,明確に
degree,unit for measuring temperature or angles,n,度;  程度；レベル
depend on,To rely on for support (financial or emotional),verb,依存する；頼る
dependent,Someone who relies on someone for (financial) support,adj,他人に頼っている
depth,distance below a surface,n,深さ
die,(of a person) to stop living,verb,死ぬ
difference,Not of the same kind; unlike other things,n,相違
different,Not of the same kind; unlike other things,adj,異なる；いろいろな；変わった
